term, format, required, metadata, vocabulary
access_conditions, string, access_right == 'restricted', TRUE, 
access_right, string, yes, TRUE, open|embargoed|restricted|closed
communities, array, no, TRUE, identifier
conference_acronym, string, no, TRUE,
conference_dates, string, no, TRUE,
conference_place, string, no, TRUE,
conference_session, string, no, TRUE,
conference_session_part, string, no, TRUE,
conference_title, string, no, TRUE,
conference_url, string, no, TRUE,
contributors, array, no, TRUE, 
created, timestamp, no, FALSE,
creators, array, yes, TRUE, name|affiliation|orcid|gnd
dates, array, no, TRUE, zenodoTerms_dates.csv
description, string|HTML, yes, TRUE,
doi, string, no, FALSE,
doi, string, no, TRUE,
doi_url, string, no, FALSE,
embargo_date, string, access_right == 'embargoed', TRUE,
files, array, no, FALSE,
grants, array, no, TRUE, id
id, integer, no, FALSE,
image_type, string, upload_type == 'image', TRUE, figure|plot|drawing|diagram|photo|other
imprint_isbn, string, no, TRUE,
imprint_place, string, no, TRUE,
imprint_publisher, string, no, TRUE,
journal_issue, string, no, TRUE,
journal_pages, string, no, TRUE,
journal_title, string, no, TRUE,
journal_volume, string, no, TRUE,
keywords, array, no, TRUE,
language, string, no, TRUE,
license, string, access_right == 'open' | access_right == 'embargoed', TRUE, zenodo_licenses.csv
locations, array, no, TRUE, lat|lon|place|description
method, string|HTML, no, TRUE,
modified, timestamp, no, FALSE,
notes, string, no, TRUE,
owner, integer, no, FALSE,
partof_pages, string, no, TRUE,
partof_title, string, no, TRUE,
prereserve_doi, object/bool, no, TRUE,
publication_date, string, yes, TRUE,
publication_type, string, upload_type == 'publication', TRUE, annotationcollection|book|section|conferencepaper|datamanagementplan|article|patent|preprint|deliverable|milestone|proposal|report|softwaredocumentation|taxonomictreatment|technicalnote|thesis|workingpaper|other
record_id, integer, no, FALSE,
record_url, url, no, FALSE,
references, array, no, TRUE,
related_identifiers, array, no, TRUE, zenodoTerms_related_identifiers.csv
state, string, no, FALSE, inprogress|done|error
subjects, array, no, TRUE, term|identifier|scheme
submitted, bool, no, FALSE,
thesis_supervisors, string, no, TRUE,
thesis_university, string, no, TRUE,
title, string, no, FALSE,
title, string, yes, TRUE,
upload_type, string, yes, TRUE, publication|poster|presentation|dataset|image|video|software|lesson|physicalobject|other
version, string, no, TRUE,
